seed-> 9607
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/different_examples', input_name='input_lr.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=9607, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='3_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/input_lr/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='21:59:15')
alpha:20
scale 4:[575/1000], errG: -0.060464 ,output.mean(): 0.060464, rec_loss:0.010273
scale 4:[600/1000], errG: -0.015160 ,output.mean(): 0.015160, rec_loss:0.010540
scale 4:[625/1000], errG: -0.055726 ,output.mean(): 0.055726, rec_loss:0.011220
scale 4:[650/1000], errG: -0.107377 ,output.mean(): 0.107377, rec_loss:0.007858
scale 4:[675/1000], errG: -0.128493 ,output.mean(): 0.128493, rec_loss:0.008266
scale 4:[700/1000], errG: -0.169939 ,output.mean(): 0.169939, rec_loss:0.008299
scale 4:[725/1000], errG: -0.191297 ,output.mean(): 0.191297, rec_loss:0.009640
scale 4:[750/1000], errG: -0.196471 ,output.mean(): 0.196471, rec_loss:0.008259
scale 4:[775/1000], errG: -0.214528 ,output.mean(): 0.214528, rec_loss:0.008467
scale 4:[800/1000], errG: -0.193492 ,output.mean(): 0.193492, rec_loss:0.007480
scale 4:[825/1000], errG: -0.232832 ,output.mean(): 0.232832, rec_loss:0.008874
scale 4:[850/1000], errG: -0.227581 ,output.mean(): 0.227581, rec_loss:0.009550
scale 4:[875/1000], errG: -0.239244 ,output.mean(): 0.239244, rec_loss:0.009353
scale 4:[900/1000], errG: -0.312422 ,output.mean(): 0.312422, rec_loss:0.010400
scale 4:[925/1000], errG: -0.350386 ,output.mean(): 0.350386, rec_loss:0.010635
scale 4:[950/1000], errG: -0.309946 ,output.mean(): 0.309946, rec_loss:0.010466
scale 4:[975/1000], errG: -0.273735 ,output.mean(): 0.273735, rec_loss:0.008063
scale 4:[999/1000], errG: -0.315631 ,output.mean(): 0.315631, rec_loss:0.009797
Scale: 4, realD_loss: 0.000000 
alpha:20
scale 5:[0/1000], errG: -0.169843 ,output.mean(): 0.169843, rec_loss:0.094712
scale 5:[25/1000], errG: 0.042023 ,output.mean(): -0.042023, rec_loss:0.024953
scale 5:[50/1000], errG: 0.106823 ,output.mean(): -0.106823, rec_loss:0.018247
scale 5:[75/1000], errG: -0.029733 ,output.mean(): 0.029733, rec_loss:0.020437
scale 5:[100/1000], errG: -0.126103 ,output.mean(): 0.126103, rec_loss:0.014609
