seed-> 3415
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=3415, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='24.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=256, train_on_last_scale=0, training_name='', tx='17:42:48')
alpha:20
scale 5:[300/1000], errG: -0.101182 , errGfrozen : 0.012516, rec_loss:0.011241
scale 5:[325/1000], errG: -0.062265 , errGfrozen : 0.013474, rec_loss:0.010950
scale 5:[350/1000], errG: -0.098832 , errGfrozen : 0.010482, rec_loss:0.011133
scale 5:[375/1000], errG: -0.122241 , errGfrozen : 0.012641, rec_loss:0.013825
scale 5:[400/1000], errG: -0.083935 , errGfrozen : 0.011756, rec_loss:0.011429
scale 5:[425/1000], errG: -0.050307 , errGfrozen : 0.009377, rec_loss:0.011815
scale 5:[450/1000], errG: -0.048168 , errGfrozen : 0.010945, rec_loss:0.010074
scale 5:[475/1000], errG: -0.025603 , errGfrozen : 0.011020, rec_loss:0.011379
scale 5:[500/1000], errG: -0.007236 , errGfrozen : 0.011094, rec_loss:0.012112
scale 5:[525/1000], errG: 0.016476 , errGfrozen : 0.011489, rec_loss:0.011183
scale 5:[550/1000], errG: 0.027725 , errGfrozen : 0.011028, rec_loss:0.010950
scale 5:[575/1000], errG: -0.010817 , errGfrozen : 0.012665, rec_loss:0.011444
scale 5:[600/1000], errG: 0.003099 , errGfrozen : 0.010336, rec_loss:0.011514
scale 5:[625/1000], errG: -0.017743 , errGfrozen : 0.011284, rec_loss:0.010682
scale 5:[650/1000], errG: -0.007533 , errGfrozen : 0.010631, rec_loss:0.010220
scale 5:[675/1000], errG: -0.033487 , errGfrozen : 0.010632, rec_loss:0.011553
scale 5:[700/1000], errG: -0.032706 , errGfrozen : 0.010882, rec_loss:0.010794
scale 5:[725/1000], errG: -0.035479 , errGfrozen : 0.010560, rec_loss:0.010872
scale 5:[750/1000], errG: -0.049738 , errGfrozen : 0.011524, rec_loss:0.011905
scale 5:[775/1000], errG: -0.043129 , errGfrozen : 0.011207, rec_loss:0.011106
scale 5:[800/1000], errG: -0.033035 , errGfrozen : 0.009977, rec_loss:0.011004
scale 5:[825/1000], errG: -0.063394 , errGfrozen : 0.009857, rec_loss:0.012206
scale 5:[850/1000], errG: -0.037011 , errGfrozen : 0.009361, rec_loss:0.011576
scale 5:[875/1000], errG: -0.099613 , errGfrozen : 0.009753, rec_loss:0.011720
scale 5:[900/1000], errG: -0.087141 , errGfrozen : 0.009068, rec_loss:0.012512
scale 5:[925/1000], errG: -0.120802 , errGfrozen : 0.009089, rec_loss:0.012207
scale 5:[950/1000], errG: -0.130216 , errGfrozen : 0.009589, rec_loss:0.012308
scale 5:[975/1000], errG: -0.088403 , errGfrozen : 0.009357, rec_loss:0.011453
scale 5:[999/1000], errG: -0.075011 , errGfrozen : 0.008897, rec_loss:0.011721
Scale: 5, realD_loss: 0.037027 
alpha:20
scale 6:[0/1000], errG: -0.015020 , errGfrozen : 0.018208, rec_loss:0.082807
scale 6:[25/1000], errG: -0.139109 , errGfrozen : 0.002315, rec_loss:0.036432
scale 6:[50/1000], errG: -0.065997 , errGfrozen : 0.015842, rec_loss:0.023231
scale 6:[75/1000], errG: -0.067291 , errGfrozen : 0.003751, rec_loss:0.019414
scale 6:[100/1000], errG: -0.051659 , errGfrozen : 0.000710, rec_loss:0.020846
scale 6:[125/1000], errG: -0.202750 , errGfrozen : 0.000130, rec_loss:0.014422
scale 6:[150/1000], errG: -0.078470 , errGfrozen : 0.000434, rec_loss:0.015968
