seed-> 4160
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=4160, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='140.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=128, train_on_last_scale=0, training_name='', tx='07:07:48')
alpha:20
scale 4:[350/1000], errG: 0.533445 ,output.mean(): -0.533445, rec_loss:0.006158
scale 4:[375/1000], errG: 0.265895 ,output.mean(): -0.265895, rec_loss:0.003312
scale 4:[400/1000], errG: 0.232477 ,output.mean(): -0.232477, rec_loss:0.004435
scale 4:[425/1000], errG: 0.271740 ,output.mean(): -0.271740, rec_loss:0.006102
scale 4:[450/1000], errG: 0.133362 ,output.mean(): -0.133362, rec_loss:0.006426
scale 4:[475/1000], errG: 0.104263 ,output.mean(): -0.104263, rec_loss:0.004418
scale 4:[500/1000], errG: 0.068659 ,output.mean(): -0.068659, rec_loss:0.003706
scale 4:[525/1000], errG: 0.151088 ,output.mean(): -0.151088, rec_loss:0.003317
scale 4:[550/1000], errG: 0.250652 ,output.mean(): -0.250652, rec_loss:0.003292
scale 4:[575/1000], errG: 0.068341 ,output.mean(): -0.068341, rec_loss:0.003155
scale 4:[600/1000], errG: 0.093433 ,output.mean(): -0.093433, rec_loss:0.003835
scale 4:[625/1000], errG: -0.061352 ,output.mean(): 0.061352, rec_loss:0.015555
scale 4:[650/1000], errG: 0.046742 ,output.mean(): -0.046742, rec_loss:0.002959
scale 4:[675/1000], errG: -0.060516 ,output.mean(): 0.060516, rec_loss:0.003829
scale 4:[700/1000], errG: 0.210012 ,output.mean(): -0.210012, rec_loss:0.002598
scale 4:[725/1000], errG: 0.005311 ,output.mean(): -0.005311, rec_loss:0.003537
scale 4:[750/1000], errG: 0.064988 ,output.mean(): -0.064988, rec_loss:0.001983
scale 4:[775/1000], errG: -0.140526 ,output.mean(): 0.140526, rec_loss:0.001905
scale 4:[800/1000], errG: 0.027054 ,output.mean(): -0.027054, rec_loss:0.002262
scale 4:[825/1000], errG: -0.002150 ,output.mean(): 0.002150, rec_loss:0.003284
scale 4:[850/1000], errG: -0.094605 ,output.mean(): 0.094605, rec_loss:0.001794
scale 4:[875/1000], errG: -0.080326 ,output.mean(): 0.080326, rec_loss:0.001807
scale 4:[900/1000], errG: -0.021130 ,output.mean(): 0.021130, rec_loss:0.001774
scale 4:[925/1000], errG: 0.005515 ,output.mean(): -0.005515, rec_loss:0.001478
scale 4:[950/1000], errG: -0.058478 ,output.mean(): 0.058478, rec_loss:0.007016
scale 4:[975/1000], errG: 0.032378 ,output.mean(): -0.032378, rec_loss:0.001647
scale 4:[999/1000], errG: 0.013635 ,output.mean(): -0.013635, rec_loss:0.002012
Scale: 4, realD_loss: 0.905970 
alpha:20
scale 5:[0/1000], errG: -0.064269 ,output.mean(): 0.064269, rec_loss:0.039597
scale 5:[25/1000], errG: 0.232247 ,output.mean(): -0.232247, rec_loss:0.023948
scale 5:[50/1000], errG: 0.284069 ,output.mean(): -0.284069, rec_loss:0.012643
scale 5:[75/1000], errG: 0.452035 ,output.mean(): -0.452035, rec_loss:0.012099
scale 5:[100/1000], errG: 0.373643 ,output.mean(): -0.373643, rec_loss:0.008350
scale 5:[125/1000], errG: 0.342412 ,output.mean(): -0.342412, rec_loss:0.006091
scale 5:[150/1000], errG: 0.371584 ,output.mean(): -0.371584, rec_loss:0.006088
scale 5:[175/1000], errG: 0.336546 ,output.mean(): -0.336546, rec_loss:0.007085
scale 5:[200/1000], errG: 0.155483 ,output.mean(): -0.155483, rec_loss:0.004429
scale 5:[225/1000], errG: 0.133754 ,output.mean(): -0.133754, rec_loss:0.003938
scale 5:[250/1000], errG: 0.019667 ,output.mean(): -0.019667, rec_loss:0.003653
scale 5:[275/1000], errG: 0.174976 ,output.mean(): -0.174976, rec_loss:0.005347
scale 5:[300/1000], errG: 0.120663 ,output.mean(): -0.120663, rec_loss:0.003874
scale 5:[325/1000], errG: 0.017725 ,output.mean(): -0.017725, rec_loss:0.003503
scale 5:[350/1000], errG: 0.030859 ,output.mean(): -0.030859, rec_loss:0.004410
scale 5:[375/1000], errG: -0.190712 ,output.mean(): 0.190712, rec_loss:0.003727
scale 5:[400/1000], errG: -0.172619 ,output.mean(): 0.172619, rec_loss:0.003077
