seed-> 9367
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/different_examples', input_name='landscape.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=9367, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='3_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/landscape/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='18:29:17')
alpha:20
scale 4:[325/1000], errG: 0.091699 ,output.mean(): -0.091699, rec_loss:0.011925
scale 4:[350/1000], errG: 0.078488 ,output.mean(): -0.078488, rec_loss:0.008637
scale 4:[375/1000], errG: 0.027348 ,output.mean(): -0.027348, rec_loss:0.016848
scale 4:[400/1000], errG: 0.063843 ,output.mean(): -0.063843, rec_loss:0.009177
scale 4:[425/1000], errG: -0.026387 ,output.mean(): 0.026387, rec_loss:0.004584
scale 4:[450/1000], errG: -0.029626 ,output.mean(): 0.029626, rec_loss:0.006536
scale 4:[475/1000], errG: -0.060427 ,output.mean(): 0.060427, rec_loss:0.003971
scale 4:[500/1000], errG: -0.062193 ,output.mean(): 0.062193, rec_loss:0.003065
scale 4:[525/1000], errG: -0.012882 ,output.mean(): 0.012882, rec_loss:0.004303
scale 4:[550/1000], errG: 0.053408 ,output.mean(): -0.053408, rec_loss:0.002856
scale 4:[575/1000], errG: -0.015368 ,output.mean(): 0.015368, rec_loss:0.003272
scale 4:[600/1000], errG: -0.076100 ,output.mean(): 0.076100, rec_loss:0.004291
scale 4:[625/1000], errG: 0.000692 ,output.mean(): -0.000692, rec_loss:0.004417
scale 4:[650/1000], errG: -0.034349 ,output.mean(): 0.034349, rec_loss:0.003823
